tid	screen_name
7.29665E+17	Adam_Morfeld
7.29797E+17	Adam_Morfeld
6.93584E+17	AdaptedForCold
6.84399E+17	AddictionPolicy
6.84408E+17	AddictionPolicy
6.84409E+17	AddictionPolicy
6.84413E+17	AddictionPolicy
7.12509E+17	addycole
7.13126E+17	addycole
6.85627E+17	addyh
6.84912E+17	AdeCB2
7.20291E+17	adesmar123
6.87748E+17	adlerben
6.9278E+17	adlerben
7.0442E+17	adlerben
6.94986E+17	AdmiralSarcasm
6.84449E+17	adndotcom
6.84872E+17	adndotcom
6.86694E+17	adndotcom
6.87024E+17	adndotcom
6.89863E+17	adndotcom
6.91419E+17	adndotcom
6.9172E+17	adndotcom
6.95058E+17	adndotcom
6.95295E+17	adndotcom
6.96736E+17	adndotcom
7.04372E+17	adndotcom
7.08096E+17	adndotcom
7.08217E+17	adndotcom
7.10895E+17	adndotcom
7.12679E+17	adndotcom
7.13852E+17	adndotcom
7.17753E+17	adndotcom
7.17753E+17	adndotcom
7.2014E+17	adndotcom
7.20639E+17	adndotcom
7.22441E+17	adndotcom
7.22567E+17	adndotcom
7.24674E+17	adndotcom
7.29142E+17	adndotcom
7.2989E+17	adndotcom
7.05068E+17	ADNIditarod
7.06881E+17	ADNIditarod
6.95783E+17	ADongDM
6.95785E+17	ADongDM
7.12337E+17	AdoptionNetCle
7.07636E+17	ADP
7.09759E+17	ADP
6.96852E+17	adrian_gray
6.96426E+17	Adrienne711
7.08159E+17	adriparsonss
6.9892E+17	AdultStem
6.92001E+17	AdvanceOhio
7.23246E+17	advocate360
7.02962E+17	adwolfson
7.08363E+17	adwolfson
7.08367E+17	adwolfson
6.83062E+17	ad_wilson
6.9527E+17	ad_wilson
7.12321E+17	ad_wilson
7.13833E+17	aebradigan
6.87081E+17	aebrandenburger
6.92807E+17	aedurkinricher
7.01898E+17	aedurkinricher
7.10537E+17	aedurkinricher
7.15699E+17	aedurkinricher
7.15977E+17	aedurkinricher
7.22827E+17	aedurkinricher
6.89575E+17	aedwardslevy
6.93122E+17	aedwardslevy
7.00371E+17	aedwardslevy
7.00439E+17	aedwardslevy
7.05573E+17	aedwardslevy
7.06895E+17	aedwardslevy
7.08076E+17	aedwardslevy
7.14511E+17	aedwardslevy
6.84922E+17	aeg0707
7.18878E+17	aerodgers
7.18059E+17	AETV
6.86718E+17	AfAmDemocrats
7.06663E+17	AfAmDemocrats
7.12686E+17	AfAmDemocrats
7.16683E+17	AfAmDemocrats
7.17011E+17	AfAmDemocrats
7.2827E+17	AfAmDemocrats
7.28278E+17	AfAmDemocrats
6.92131E+17	AFAofIndiana
7.26083E+17	AFCYRs
6.88067E+17	AFLCIO
6.9018E+17	AFLCIO
6.96475E+17	AFLCIO
7.04743E+17	AFLCIO
7.061E+17	AFLCIO
7.17741E+17	AFLCIO
7.2573E+17	AFLCIO
